eligibility_id,application_id,check_service_area,check_plan_selected,check_employment,check_documents,check_clinical,check_enrollment_period,eligibility_result,review_reason,routing_department,notes
ELG-30001,APP-10001,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30002,APP-10002,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30003,APP-10003,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30004,APP-10004,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30005,APP-10005,Pass,Pass,Pass,Pass,Pass,Pass,Pending,,,Running eligibility verification
ELG-30006,APP-10006,Pass,Pass,Pass,Pending,Pass,Pass,Pending,,,Chasing proof-of-address documents
ELG-30007,APP-10007,Pass,Pass,Pass,Fail,Pass,Pass,Needs review,Legal interpretation required,Support,Divorce decree on file conflicts with the enrollment request; route to Support for legal interpretation before enrollment proceeds
ELG-30008,APP-10008,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30009,APP-10009,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30010,APP-10010,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30011,APP-10011,Pass,Pass,Pass,Pending,Pass,Pass,Pending,,,Chasing proof-of-address documents
ELG-30012,APP-10012,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30013,APP-10013,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30014,APP-10014,Pass,Pass,Pass,Pass,Fail,Pass,Needs review,Specialist sign-off required,Member Management,Awaiting cardiologist assessment before clinical clearance
ELG-30015,APP-10015,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
ELG-30016,APP-10016,Pass,Pass,Pass,Pending,Pass,Pass,Pending,,,Chasing proof-of-address documents
ELG-30017,APP-10017,Pass,Pass,Pass,Pass,Pass,Pass,Eligible,,,All eligibility checks passed
